X,Y,Tip,Dimenzija,Tlak,Napomena,Slika,Datum,Ulica,k.b.,Mjesto,Podaci,Oznaka,icon_url
14.795003301198,45.4050761834146,,,,,,,,,,,,./0.png
14.7939883877068,45.4058943885848,,,,,,,,,,,,./0.png
14.7981865639993,45.3930989427282,PH,75mm,,,,,Trg Goranskih šumara i drvara,,Delnice,,PHDE 44,./0.png
14.7991658657564,45.3941781760958,PH,75mm,,,,,Supilova,19,Delnice,Dwg,PHDE 45,./0.png
14.8001692082291,45.3947709455683,,,,,,,,,,,,./0.png
14.8008311255958,45.3955984657482,PH,75 mm,,,,,,,,,,./0.png
14.8013548415564,45.3966079250856,,,,,,,,,,,,./0.png
14.8018861704827,45.3975709935165,PH,75mm,,,,,Supilova,88,Delnice,,PHDE 49,./0.png
14.8025958947632,45.3987399893583,,,,,,,,,,,,./0.png
14.8054607669224,45.4020599178143,,,,,,,,,,,,./0.png
14.8056501686716,45.4020311430898,,,,,,,,,,,,./0.png
14.8035567080655,45.3999176855049,,,,,,,,,,,,./0.png
14.8042970210317,45.4013103329343,,,,,,,,,,,,./0.png
14.8076328748418,45.4054286451621,,,,,,,,,,,,./0.png
14.8082400635002,45.4062582278869,,,,,,,,,,,,./0.png
14.8075738982555,45.4050294914935,,,,,,,,,,,,./0.png
14.8074315955606,45.4042338826084,,,,,,,,,,,,./0.png
14.8064904533947,45.4031202952867,,,,,,,,,,,,./0.png
14.7964573359783,45.3942176246304,,,,,,,,,,,,./0.png
14.7979090259264,45.3957481663077,,,,,,,,,,,,./0.png
14.7977920666431,45.4004761111289,,,,,,,,,,,,./0.png
14.7987905976105,45.3999049101313,,,,,,,,,,,,./0.png
14.8001725275286,45.399548672287,,,,,,,,,,,,./0.png
14.8011342133875,45.3990282389539,,,,,,,,,,,,./0.png
14.7974909002098,45.3993355425659,,,,,,,,,,,,./0.png
14.7986647933319,45.3987216128316,,,,,,,,,,,,./0.png
14.7980230887297,45.3979976566477,,,,,,,,,,,,./0.png
14.7968844737258,45.3968262256438,,,,,,,,,,,,./0.png
14.7962305431261,45.3971354725439,,,,,,,,,,,,./0.png
14.7971042742391,45.3982381518856,,,,,,,,,,,,./0.png
14.7987051486495,45.3976623446003,,,,,,,,,,,,./0.png
14.7993762908345,45.3983968228857,,,,,,,,,,,,./0.png
14.7976267036451,45.3964558407974,,,,,,,,,,,,./0.png
14.7993724849031,45.3974041255559,,,,,,,,,,,,./0.png
14.7983545896293,45.3962523422581,,,,,,,,,,,,./0.png
14.8002656805902,45.3983028912454,,,,,,,,,,,,./0.png
14.8008380923633,45.3980198541668,,,,,,,,,,,,./0.png
14.8087763575609,45.397838224726,,,,,,,,,,,,./0.png
14.8081010557969,45.3970355874488,,,,,,,,,,,,./0.png
14.8076197482408,45.3962544173952,,,,,,,,,,,,./0.png
14.8068828880754,45.3958802981963,PH,75mm,,,,,Grabanj,10,Delnice,,PHDE 41,./0.png
14.8065115584217,45.3954275513864,PH,75mm,,,,,Grabanj,6,Delnice,,PHDE 40,./0.png
14.8042265899927,45.3949471732382,PH,75mm,,,,,,,,,PHDE 37,./0.png
14.8056656280408,45.3954677282781,PH,75mm,,,,,,,,,PHDE 39,./0.png
14.8013045800595,45.3940652755255,PH,75mm,,,,,Lujzinska,16,Delnice,,PHDE 31,./0.png
14.7997459685022,45.3935353640569,,,,,,,,,,,,./0.png
14.802595061638,45.3945289023392,PH,75mm,,,,,Lujzinska,6,Delnice,,PHDE 36,./0.png
14.801286840126,45.393108694344,,,,,,,,,,,,./0.png
14.8003651463456,45.392754152895,PH,75mm,,,,,S.S.Kranjčevića,17,Delnice,,PHDE 29,./0.png
14.8592786899754,45.3248420643298,,,,,,,,,,,,./0.png
14.8577987712409,45.32529082725,,,,,,,,,,,,./0.png
14.9122444397308,45.4303275879948,,,,,,,,,,,,./0.png
14.7532458197665,45.352899141016,,,,,,,,,,,,./0.png
14.753216835304,45.3510464381283,,,,,,,,,,,,./0.png
14.7353599056689,45.3580733295951,,,,,,,,,,,,./0.png
14.737974887063,45.3572758210775,,,,,,,,,,,,./0.png
14.7397449111959,45.3572632081909,,,,,,,,,,,,./0.png
14.7422915091135,45.3562660391705,,,,,,,,,,,,./0.png
14.7466076544651,45.3568371253316,,,,,,,,,,,,./0.png
14.805687696772,45.4752684506051,,,,,,,,,,,,./0.png
14.8069499524986,45.4753533462684,,,,,,,,,,,,./0.png
14.8205863264149,45.3227018212506,,,,,,,,,,,,./0.png
14.813971695466,45.3284426814942,,,,,,,,,,,,./0.png
14.6780293289038,45.3092944335112,,,,,,,,,,,,./0.png
14.7237937862085,45.2801331233486,,,,,,,,,,,,./0.png
14.7241285611183,45.2797008572258,,,,,,,,,,,,./0.png
14.7230667905826,45.2797515973139,,,,,,,,,,,,./0.png
14.7232925934971,45.279184895476,,,,,,,,,,,,./0.png
14.7175319967886,45.303812496042,PH,75mm,,,,,,,,,,./0.png
14.8502990998362,45.3333736893496,PH,75mm,,,,,,,,,,./0.png
14.8528781990877,45.3371027883094,PH,75mm,,,,,,,,,,./0.png
14.8537596282565,45.3375670759903,PH,75mm,,,,,,,,,,./0.png
14.8548357292117,45.338680160335,PH,75mm,,,,,,,,,,./0.png
14.7965011337667,45.3924703132163,PH,75mm,,,,,,,,,,./0.png
14.7959654200698,45.3934498680408,PH,75mm,,,,,,,,,,./0.png
14.7961003963759,45.3921729347038,PH,75mm,,,,,,,,,,./0.png
14.8240672639464,45.3217972462176,PH,75mm,,,,,,,,,,./0.png
