X,Y,Tip okna,Materijal,Oznaka,Napomena,Visina1,Visina2,Visina3,icon_url
14.8005925535263,45.3732371859345,,,K13-RO1,,,,,./0.png
14.7985309257916,45.3727748216113,,,K11-RO2,,,,,./0.png
14.7985279201075,45.3729947092055,,,K11-RO3,,,,,./0.png
14.7985209100969,45.3733127773119,,,K11-RO4,,,,,./0.png
14.7985196428042,45.3735888389886,,,K11-RO5,,,,,./0.png
14.7985116965578,45.3738503470861,,,K11-RO6,,,,,./0.png
14.7985105700681,45.3741218283422,,,K11-RO7,,,,,./0.png
14.7985210569859,45.3743992427939,,,K11-RO8,,,,,./0.png
14.7985156028153,45.3747124528941,,,K2-RO10,,,,,./0.png
14.7987216202814,45.3746188525385,Kaskadno,,K2-RO11,,,,,./0.png
14.7990486642643,45.3745887257281,,,K2-RO12,,,,,./0.png
14.7994035751474,45.3746054697731,,,K2-RO13,,,,,./0.png
14.7996801596581,45.3746313193147,,,K2-RO14,,,,,./0.png
14.8000801412672,45.3746699873533,,,K2-RO15,,,,,./0.png
14.8003720454995,45.3747987339036,,,K2-RO16,,,,,./0.png
14.8006841755112,45.3749237621522,,,K2-RO17,,,,,./0.png
14.8010253894602,45.3750628687623,Kaskadno,,K2-RO18,,,,,./0.png
14.8012758449138,45.3752733374285,,,K2-RO19,,,,,./0.png
14.8014236769185,45.375525630067,,,K2-RO20,,,,,./0.png
14.8014725194666,45.3757466598748,,,K2-RO21,,,,,./0.png
14.801516350034,45.3760161375125,,,K2-RO22,,,,,./0.png
14.8015721726498,45.3762910622461,Kaskadno,,K2-RO23,,,,,./0.png
14.801557609279,45.3765391934571,,,K2-RO24,,,,,./0.png
14.8012692075815,45.3744336299282,,,K10-RO3,,,,,./0.png
14.8011886625544,45.3747017609328,,,K10-RO2,,,,,./0.png
14.8011080825765,45.3749667374353,,,K10-RO1,,,,,./0.png
14.8002812623089,45.3746117301836,,,K9-RO1,,,,,./0.png
14.8004924819679,45.3745362852752,,,K9-RO2,,,,,./0.png
14.8006143317541,45.3744300476498,,,K9-RO3,,,,,./0.png
14.8007268440908,45.3742920080141,,,K9-RO4,,,,,./0.png
14.7994337456445,45.3744530998742,,,K8-RO1,,,,,./0.png
14.7994629546221,45.3742325472595,,,K8-RO2,,,,,./0.png
14.7994912889831,45.3740322482957,,,K12-RO5,,,,,./0.png
14.7995281759669,45.373802113649,,,K12-RO4,,,,,./0.png
14.7995578246827,45.3735876146644,,,K12-RO3,,,,,./0.png
14.7996732280108,45.3733314646866,,,K12-RO2,,,,,./0.png
14.7998324513275,45.3730822312156,,,K12-RO1,,,,,./0.png
14.7983184259765,45.3748622832739,,,K2-RO9,,,,,./0.png
14.7980771725795,45.3750711322283,,,K2-RO8,,,,,./0.png
14.7978560951755,45.3752589583399,,,K2-RO7,,,,,./0.png
14.7950622563566,45.3726511792291,,,K7-RO1n,,,,,./0.png
14.797281936515,45.374867901472,,,K7-RO15,,,,,./0.png
14.7970318821281,45.3747300991156,,,K7-RO14,,,,,./0.png
14.7967046031829,45.3745774637636,,,K7-RO11,,,,,./0.png
14.7965441085159,45.3744453981778,Kaskadno,,K7-RO10,,,,,./0.png
